Datetime,Max_Demand_MW,Peak_Shortage_MW,Energy_Met_MU
2013-04-01,118906.5,8118.0,2526.1
2013-04-02,121355.0,9479.0,2574.6
2013-04-03,118285.0,9650.0,2558.4
2013-04-04,119086.0,10810.0,2551.0
2013-04-05,121451.0,9951.0,2586.3
2013-04-06,121823.0,10637.0,2564.8
2013-04-07,122626.0,10466.0,2588.5
2013-04-08,119014.0,8453.0,2552.5
2013-04-09,123225.0,10844.0,2623.7
2013-04-10,222652.0,12251.0,2646.6
2013-04-11,122080.0,11474.0,2620.3
2013-04-12,121662.0,9575.0,2628.2
2013-04-13,125014.0,11915.0,2642.4
2013-04-14,122121.0,10350.0,2626.2
2013-04-15,120605.0,6891.0,2541.9
2013-04-16,125177.0,8881.0,2631.1
2013-04-17,125086.0,7853.0,2670.2999999999997
2013-04-18,124637.0,9704.0,2664.3
2013-04-19,122224.0,8727.0,2636.7
2013-04-20,119599.0,9304.0,2576.7000000000003
2013-04-21,120376.0,7742.0,2518.8
2013-04-22,115670.0,6319.0,2454.2
2013-04-23,120280.0,8494.0,2537.1
2013-04-24,121753.0,7226.0,2605.7
2013-04-25,122427.5,9532.0,2642.7
2013-04-26,123983.0,7967.0,2652.4
2013-04-27,123635.0,10842.0,2621.3
2013-04-28,249224.0,15028.0,5354.8
2013-04-29,122225.0,5487.0,2634.8
2013-04-30,127100.0,7693.0,2713.2
2013-05-01,127221.0,9956.0,2754.6
2013-05-02,122622.0,7575.0,2662.6
2013-05-03,126290.0,8863.0,2696.2
2013-05-04,126672.0,7187.0,2735.8
2013-05-05,125691.0,7595.0,2727.4
2013-05-06,121971.0,7424.0,2665.5
2013-05-07,126936.0,9656.0,2739.3
2013-05-08,128536.0,8910.0,2742.6
2013-05-09,129735.0,10181.0,2812.9
2013-05-10,130023.0,8280.0,2814.2999999999997
2013-05-11,129152.0,6843.0,2811.3
2013-05-13,243936.0,4782.0,5279.2
2013-05-14,127831.0,6699.0,2704.1
2013-05-15,128678.0,6317.0,2777.2000000000003
2013-05-16,129096.0,7135.0,2783.7
2013-05-17,130139.0,6609.0,2797.1
2013-05-18,128990.0,8167.0,2786.0
2013-05-19,128595.0,7020.0,2765.2
2013-05-20,225588.0,5686.0,2717.7
2013-05-21,130726.0,7856.0,2779.3
2013-05-22,131769.0,6265.0,2821.2
2013-05-23,132149.0,7318.0,2858.8
2013-05-24,132499.0,7137.0,2857.3
2013-05-25,132598.0,6520.0,2879.4
2013-05-26,131386.0,6375.0,2861.7999999999997
2013-05-27,127979.0,4951.0,2785.0
2013-05-28,130783.0,4331.0,2811.4
2013-05-29,130790.0,5222.0,2830.7
2013-05-30,129348.0,5974.0,2797.8
2013-06-01,126435.0,5873.0,2714.1
2013-06-02,125564.0,7422.0,2671.3
2013-06-03,121144.0,4956.0,2599.0
2013-06-05,127634.0,6364.0,2716.1
2013-06-06,126732.0,7141.0,2736.7000000000003
2013-06-07,126283.0,5848.0,2695.8
2013-06-08,122447.0,6364.0,2640.2
2013-06-09,123705.0,5544.0,2663.6
2013-06-10,120097.0,4736.0,2597.4
2013-06-11,123842.0,6212.0,2645.7000000000003
2013-06-12,123324.0,4312.0,2624.8
2013-06-13,122662.0,5163.0,2572.9
2013-06-14,122032.0,4975.0,2498.8
2013-06-15,120918.0,4153.0,2559.1
2013-06-16,117270.0,5761.0,2445.4
2013-06-17,110125.0,3034.0,2323.0
2013-06-18,113783.0,5737.0,2383.8
2013-06-19,117491.0,5289.0,2506.4
2013-06-20,121600.0,4949.0,2579.1
2013-06-21,124179.0,4991.0,2654.8
2013-06-22,125895.0,4468.0,2719.9
2013-06-23,125709.0,5207.0,2723.3
2013-06-24,122847.0,4603.0,2672.0
2013-06-25,127527.0,5095.0,2718.0
2013-06-26,124347.0,6261.0,2688.2
2013-06-27,250560.0,11678.0,5423.2
2013-06-28,125120.0,4528.0,2679.7
2013-06-30,123585.0,3621.0,2636.2
2013-07-01,118416.0,4575.0,2504.2
2013-07-02,125782.0,6470.0,2690.3
2013-07-03,126397.0,7201.0,2733.0
2013-07-04,126076.0,5877.0,2736.4
2013-07-05,250196.0,11816.0,5401.0
2013-07-06,126457.0,8429.0,2717.0
2013-07-07,125930.0,5546.0,2719.0
2013-07-08,121467.0,4382.0,2628.0
2013-07-09,125033.0,5443.0,2654.6
2013-07-10,124689.0,5093.0,2663.9
2013-07-11,123327.0,5874.0,2632.7
2013-07-12,123904.0,4935.0,2664.9
2013-07-13,123962.0,5057.0,2653.1
2013-07-14,123960.0,5241.0,2655.0
2013-07-15,120453.0,5103.0,2592.9
2013-07-16,125332.0,4639.0,2685.8
2013-07-17,125750.0,5308.0,2702.9
2013-07-18,126769.0,6488.0,2723.6
2013-07-19,126640.0,4578.0,2722.6
2013-07-20,124705.0,4818.0,2688.3
2013-07-21,121159.0,4287.0,2592.1
2013-07-22,118954.0,3541.0,2537.4
2013-07-23,245738.0,6226.0,5295.4
2013-07-24,124225.0,6872.0,2616.8
2013-07-25,125119.0,4977.0,2643.1
2013-07-26,124053.0,5952.0,2632.8
2013-07-27,123473.0,5384.0,2637.1
2013-07-29,239040.0,11244.0,5159.2
2013-07-30,122696.0,5683.0,2655.4
2013-07-31,124964.0,6858.0,2659.8
2013-08-01,124221.0,5321.0,2641.0
2013-08-02,122496.0,5707.0,2602.8
2013-08-03,124414.0,4931.0,2648.2000000000003
2013-08-04,124752.0,5566.0,2687.1
2013-08-05,122117.0,4640.0,2634.8
2013-08-06,124699.0,5457.0,2683.5
2013-08-07,124100.0,3751.0,2640.8
2013-08-08,124932.0,3872.0,2652.1
2013-08-09,123095.0,4615.0,2681.3
2013-08-10,122580.0,2734.0,2635.4
2013-08-11,121530.0,4899.0,2605.8
2013-08-12,119419.0,4782.0,2567.7
2013-08-13,123546.0,7093.0,2640.8
2013-08-14,123714.0,5127.0,2658.0
2013-08-16,113888.0,3558.0,2416.6
2013-08-17,118369.0,4032.0,2478.2999999999997
2013-08-18,117638.0,3262.0,2483.4
2013-08-19,114987.0,3035.0,2441.2
2013-08-20,119621.0,3663.0,2533.0
2013-08-21,117334.0,4082.0,2486.9
2013-08-22,120599.0,4279.0,2521.4
2013-08-23,122657.0,5644.0,2594.1
2013-08-24,123776.0,5778.0,2668.5
2013-08-25,126512.0,4822.0,2697.6
2013-08-26,123507.0,3465.0,2662.2
2013-08-27,131183.0,4953.0,2762.3
2013-08-28,130680.0,4162.0,2793.0
2013-08-31,128416.0,6912.0,2786.3
2013-09-01,130564.0,5985.0,2787.5
2013-09-02,126663.0,5652.0,2715.2999999999997
2013-09-03,131355.0,6464.0,2807.1
2013-09-04,132315.0,6778.0,2839.7
2013-09-05,133320.0,7630.0,2855.1
2013-09-06,135085.0,6724.0,2892.3
2013-09-07,134583.0,7708.0,2887.5
2013-09-08,132984.0,5902.0,2850.3
2013-09-09,127981.0,4101.0,2776.8
2013-09-10,128982.0,3671.0,2756.0
2013-09-11,134518.0,5242.0,2831.7
2013-09-12,134324.0,4539.0,2843.8
2013-09-13,133807.0,5088.0,2863.5
2013-09-14,133485.0,4390.0,2843.2
2013-09-16,128447.0,3369.0,2723.8
2013-09-17,128104.0,3226.0,2703.8
2013-09-18,128434.0,3113.0,2741.9
2013-09-19,128004.0,2849.0,2756.9
2013-09-20,132117.0,3711.0,2795.4
2013-09-22,127748.0,3681.0,2680.6
2013-09-23,121027.0,3795.0,2585.6
2013-09-25,127439.0,3345.0,2715.1
2013-09-26,126828.0,3766.0,2674.8
2013-09-27,127627.0,3641.0,2702.9
2013-09-28,126266.0,3650.0,2717.7999999999997
2013-09-29,126000.0,4028.0,2706.5
2013-09-30,122104.0,3866.0,2587.0
2013-10-01,126528.0,3946.0,2661.4
2013-10-02,127248.0,4987.0,2673.6
2013-10-03,122266.0,4163.0,2590.3
2013-10-04,126661.0,4381.0,2626.8
2013-10-05,122687.0,5501.0,2594.1
2013-10-06,122774.0,5936.0,2594.1
2013-10-07,120572.0,5095.0,2551.8
2013-10-08,124990.0,8470.0,2625.4
2013-10-09,124837.0,6905.0,2639.4
2013-10-10,125518.0,6585.0,2623.2999999999997
2013-10-11,126694.0,4633.0,2663.5
2013-10-12,124161.0,4027.0,2578.6
2013-10-13,120506.0,3709.0,2507.7
2013-10-14,107109.0,3828.0,2250.3
2013-10-15,104283.35,5496.0,2344.9
2013-10-17,121419.0,6909.0,2554.7
2013-10-18,122967.0,5017.0,2575.5
2013-10-19,123917.0,5294.0,2615.6
2013-10-20,123228.0,5837.0,2600.2
2013-10-21,118247.0,4140.0,2527.7
2013-10-22,123594.0,4981.0,2571.9
2013-10-23,121652.0,4098.0,2564.5
2013-10-24,121298.0,4542.0,2529.4
2013-10-25,121875.0,4680.0,2505.0
2013-10-26,121156.0,4224.0,2531.0
2013-10-27,121182.0,3870.0,2506.1
2013-10-28,117074.0,2915.0,2448.2
2013-10-29,123290.0,4707.0,2533.7
2013-10-30,123940.0,5825.0,2565.7
2013-10-31,123866.0,5514.0,2583.8
2013-11-01,124948.0,4520.0,2606.1
2013-11-02,124611.0,2868.0,2593.7
2013-11-03,123266.0,1572.0,2551.2
2013-11-04,116417.0,1647.0,2388.0
2013-11-05,116291.0,2114.0,2358.9
2013-11-06,118304.0,2940.0,2419.9
2013-11-07,121689.0,3831.0,2496.2000000000003
2013-11-08,121741.0,5483.0,2518.0
2013-11-09,123185.0,4724.0,2527.8
2013-11-10,122958.0,5538.0,2530.5
2013-11-11,119458.0,4584.0,2490.2
2013-11-12,123141.0,5687.0,2545.7
2013-11-13,124994.0,4946.0,2592.0
2013-11-14,125648.0,5781.0,2595.4
2013-11-15,123136.0,7002.0,2578.2
2013-11-16,124120.0,6043.0,2567.4
2013-11-17,122729.0,4175.0,2569.3
2013-11-18,118848.0,3407.0,2461.8
2013-11-19,123957.0,4644.0,2543.7000000000003
2013-11-20,125174.0,5461.0,2594.2
2013-11-21,125384.0,6478.0,2613.2
2013-11-22,124809.0,7447.0,2613.6
2013-11-23,126356.0,7758.0,2604.1
2013-11-24,126797.0,7105.0,2612.6
2013-11-25,121052.0,5398.0,2533.2000000000003
